DATE,MEDIAN_INCOME
1/1/1984,26530
1/1/1985,28430
1/1/1986,29720
1/1/1987,30000
1/1/1988,32650
1/1/1989,34120
1/1/1990,35070
1/1/1991,36140
1/1/1992,38200
1/1/1993,36430
1/1/1994,37650
1/1/1995,36220
1/1/1996,39210
1/1/1997,42960
1/1/1998,43350
1/1/1999,45690
1/1/2000,47160
1/1/2001,50240
1/1/2002,49630
1/1/2003,54780
1/1/2004,51140
1/1/2005,51910
1/1/2006,57120
1/1/2007,59160
1/1/2008,61990
1/1/2009,60500
1/1/2010,60370
1/1/2011,62620
1/1/2012,64630
1/1/2013,65910
1/1/2014,66160
1/1/2015,61490
1/1/2016,66450
1/1/2017,70810
1/1/2018,77150
1/1/2019,81310
1/1/2020,82210
1/1/2021,80270
1/1/2022,85170
1/1/2023,96490
